id;id_besoin;besoin_frequence;type_besoin;quantite;date_peremption;date_besoin;titre_emploi;tache_principale;nb_heure;duree_contrat;date_entree;nb_beneficiaire;service_souhaite;date_recuperation
1;75886;CONTINU;SURPLUSAGRI;39221;2020-07-02T22:05:31;2020-07-02T06:41:28;Bacon;optical back-end;61125;15378;2020-07-02T15:12:23;89610;Ergonomic Granite Fish National;2020-07-02T16:36:18
2;15787;PERIODIQUE;BESOINALIMENT;96137;2020-07-02T15:47:42;2020-07-02T23:21:35;Colorado;Philippine Peso Fish invoice;27565;59824;2020-07-02T17:18:41;26841;virtual Cambridgeshire blue;2020-07-02T13:59:26
3;42185;PERIODIQUE;BESOINRH;38401;2020-07-02T23:44:12;2020-07-02T05:13:05;utilize Intranet ADP;Agent platforms;53559;2856;2020-07-02T16:02:00;47946;Executive;2020-07-03T00:25:40
4;88551;PERIODIQUE;BESOINRH;69342;2020-07-02T15:51:33;2020-07-02T09:27:58;encompassing Facilitator Handmade Wooden Shirt;Personal Loan Account open-source Plaza;40600;66830;2020-07-02T07:04:16;69162;invoice;2020-07-02T09:32:17
5;4921;PERIODIQUE;BESOINRH;71686;2020-07-02T11:40:59;2020-07-02T09:09:11;zero administration Bedfordshire;array index;45871;41976;2020-07-02T07:40:49;68926;hacking Customer port;2020-07-02T19:42:08
6;30094;CONTINU;BESOINALIMENT;52517;2020-07-02T18:15:55;2020-07-02T04:53:12;Niger initiatives;International;97897;13309;2020-07-03T00:13:55;6215;Soap Borders;2020-07-02T01:50:26
7;68682;CONTINU;SURPLUSAGRI;21486;2020-07-02T09:11:48;2020-07-02T04:50:57;Plastic Money Market Account;National hub;64938;85768;2020-07-02T07:47:35;7067;enterprise lavender vortals;2020-07-03T01:02:37
8;58270;PERIODIQUE;SURPLUSAGRI;95868;2020-07-02T10:29:17;2020-07-02T14:59:22;B2B;CSS;52628;57057;2020-07-02T20:16:25;30627;Clothing Practical Metal Tuna Sleek;2020-07-02T13:08:11
9;43122;CONTINU;SURPLUSANNONCE;45363;2020-07-02T10:29:50;2020-07-02T09:48:15;invoice throughput Buckinghamshire;Fantastic capacitor Regional;23305;51354;2020-07-02T17:36:26;69683;Principal enterprise;2020-07-02T03:02:41
10;17776;CONTINU;BESOINBENEVOLE;10992;2020-07-02T14:20:27;2020-07-02T07:14:25;panel primary;AGP enhance;83344;53868;2020-07-02T01:43:06;37462;Fish;2020-07-02T04:48:08
