id;id_demande;frequence;flag_type_dep_depannage_urgence;flag_type_dep_depannage_regulier;flag_type_dep_popote_roulante;flag_type_dep_marche_abordable;flag_type_dep_entraide_alimentaire;flag_type_dep_frigo_partage;flag_type_dep_autre;besoin_technique;besoin_urgent;flag_camion_regrigere;flag_pas_congelateur;flag_congelateur_ind;flag_congelateur_plain_pied;flag_congelateur_residentiel;flag_pas_refrigerateur;flag_refrigerateur_ind;flag_refrigerateur_plain_pied;flag_refrigerateur_residentiel;flag_acces_glaciere;flag_acces_cuisine;flag_acces_vehicule;date_inspection;nombre_beneficiaire;prc_augmentation_nb_benef;prc_rh_perdue;prc_benevole_perdu;flag_denree_suffisante;flag_rh_suffisant;flag_vegetarien;flag_vegetalien;flag_item_sans_etiquette;flag_item_date;flag_halal;flag_kasher;boite_suggestion;autre_ressource
1;47305;NFOISSEMAINE;true;false;true;true;false;false;true;Soft;incubate;true;false;false;true;false;true;false;false;false;true;false;true;2020-07-02T16:31:14;64539;48956;54313;68736;true;true;true;true;true;false;true;false;Cross-platform;Bacon array Sleek Concrete Bacon
2;37461;HEBDO;false;true;true;false;false;false;false;pixel Senior;Corporate card;true;false;true;true;true;false;true;false;true;false;false;false;2020-07-02T20:38:43;58359;60487;46737;98182;false;true;true;true;true;false;true;true;quantify HDD Avon;Object-based
3;78174;QUOTIDIEN;true;false;true;false;true;true;false;logistical client-server;Shoals bleeding-edge;true;true;false;false;true;false;true;true;true;true;false;true;2020-07-02T18:44:19;74969;18135;4656;89077;false;true;true;true;true;false;true;true;Response;schemas
4;66456;MENSUEL;true;false;true;true;false;true;false;deposit;withdrawal;true;false;false;true;true;false;false;false;true;true;false;true;2020-07-02T23:02:48;10917;44202;44309;64740;true;false;false;false;false;false;false;false;Russian Ruble;Sleek
5;96363;QUOTIDIEN;true;true;true;false;false;true;false;Cheese haptic USB;Grocery Parkway Forward;false;true;true;false;false;true;false;false;true;true;true;false;2020-07-03T00:47:51;91662;50220;19207;9308;false;false;false;true;false;true;true;true;Wisconsin;Reverse-engineered
6;17336;QUOTIDIEN;false;false;true;false;true;true;true;Buckinghamshire Delaware Orchestrator;sensor Optional haptic;false;true;true;true;false;false;true;false;true;true;false;false;2020-07-02T12:15:53;10886;8117;55783;56278;true;true;false;true;true;false;true;true;Washington;feed calculating
7;84800;HEBDO;false;false;false;true;false;false;false;Iraqi Dinar Human;Orchestrator Metal;false;true;true;true;false;true;false;true;true;false;true;true;2020-07-02T02:11:06;5760;72427;4881;37795;false;true;true;false;false;true;false;false;Pizza scale 4th generation;Regional
8;47917;BIMENSUEL;false;false;true;false;true;true;true;architecture synthesize integrated;New Hampshire input;true;true;false;false;true;true;true;false;false;false;false;false;2020-07-02T03:59:31;47442;33846;5703;55290;true;true;false;true;false;true;false;true;Shirt;parsing EXE invoice
9;85766;HEBDO;false;true;false;false;true;true;false;Awesome Steel Chips payment grid-enabled;Optional Swiss Franc;false;false;false;true;false;false;true;true;false;false;true;false;2020-07-03T00:30:01;16627;62183;44186;65711;true;false;true;true;false;true;false;true;distributed;Practical Concrete Computer Lao People's Democratic Republic
10;3656;MENSUEL;false;true;false;true;true;true;false;Iowa Engineer;multi-byte generating;false;true;false;false;true;true;false;true;false;false;false;true;2020-07-02T20:24:34;42911;46032;47762;67371;false;true;true;true;false;false;false;true;Maine Functionality;Savings Account Frozen Burg
